City,Latitude,Longitude,State
Kakinada,16.9437385,82.2350607,Andhra Pradesh
Vizianagaram,18.1139259,83.3979562,Andhra Pradesh
Anakapalli,18.7805543,84.5171276,Andhra Pradesh
Visakhapatnam,17.7231276,83.3012842,Andhra Pradesh
Srikakulam,18.2949307,83.8938844,Andhra Pradesh
Eluru,16.7104257,81.1153816,Andhra Pradesh
NTR,13.8469554,45.2406585,Andhra Pradesh
Krishna,19.994926,77.2208619,Andhra Pradesh
Guntur,16.2915189,80.4541588,Andhra Pradesh
Bapatla,15.9052608,80.4680501,Andhra Pradesh
Kurnool,15.8309251,78.0425373,Andhra Pradesh
Prakasam,17.5184713,78.4252651,Andhra Pradesh
Nandyal,15.4736293,78.4806592,Andhra Pradesh
Annamayya,14.4295461,79.976088,Andhra Pradesh
Chittoor,13.2161224,79.0972819,Andhra Pradesh
Anantapur,14.6783221,77.6065039,Andhra Pradesh
Tawang,27.5879186,91.863733,Arunachal Pradesh
Tirupati,13.6316368,79.4231711,Andhra Pradesh
Siang,-6.0172085,146.9508128,Arunachal Pradesh
Namsai,27.6658391,95.861432,Arunachal Pradesh
Tirap,27.2973854,95.7677387,Arunachal Pradesh
Changlang,27.1398402,95.7382485,Arunachal Pradesh
Kamle,27.629,84.7645667,Arunachal Pradesh
Longding,26.8872823,95.320301,Arunachal Pradesh
Bajali,54.378994,26.308968,Assam
Baksa,48.2232612,21.0295939,Assam
Barpeta,26.3257824,91.0075712,Assam
Bongaigaon,26.4800126,90.5580387,Assam
Biswanath,24.8544584,91.7441956,Assam
Cachar,44.1149502,3.8724893,Assam
Chirang,24.6335767,90.8523224,Assam
Dhemaji,27.4763797,94.5629622,Assam
Dhubri,26.0186768,89.9857236,Assam
Dibrugarh,27.4844597,94.9019447,Assam
Goalpara,26.1783623,90.6226683,Assam
Hojai,26.0031945,92.8522896,Assam
Hailakandi,24.6847623,92.5645005,Assam
Golaghat,26.5108262,93.9743686,Assam
Jorhat,26.7577925,94.2079645,Assam
Karimganj,24.8647214,92.3681114,Assam
Kokrajhar,26.4003745,90.2710412,Assam
Lakhimpur,27.946309,80.7815166,Assam
Majuli,49.87587,23.085369,Assam
Nagaon,26.3482238,92.6858215,Assam
Nalbari,26.445568,91.4354335,Assam
Sivasagar,26.9834936,94.6394226,Assam
Tinsukia,27.4879722,95.3601855,Assam
Udalguri,26.7503815,92.0977245,Assam
Tamulpur,26.6108401,91.5761562,Assam
Patna,25.6093239,85.1235252,Bihar
Nalanda,7.6663756,80.6365641,Bihar
Bhojpur,27.1879842,87.04984432,Bihar
Rohtas,24.6342713,83.9639504,Bihar
Kaimur,26.5635459,78.9191294,Bihar
Buxar,25.5716195,83.9729568,Bihar
Muzaffarpur,26.1182898,85.3857888,Bihar
Vaishali,25.9792433,85.1262924,Bihar
Sitamarhi,26.5876547,85.5056744,Bihar
Sheohar,26.5139825,85.2929878,Bihar
Saran,47.9494039,1.8764209,Bihar
Siwan,26.2184558,84.3585062,Bihar
Gopalganj,26.4645422,84.4433697,Bihar
Darbhanga,26.156999,85.8995065,Bihar
Samastipur,25.8596845,85.7839038,Bihar
Saharsa,25.8758962,86.5926702,Bihar
Madhubani,26.79861145,85.40837941,Bihar
Supaul,26.1186598,86.6008021,Bihar
Madhepura,25.9174142,86.7915907,Bihar
Purnia,25.7773601,87.4731227,Bihar
Araria,26.1346459,87.4654062,Bihar
Kishanganj,26.1014194,87.9507791,Bihar
Katihar,25.5433817,87.5690417,Bihar
Bhagalpur,25.2494829,86.9828131,Bihar
Sheikhpura,25.139584,85.8381996,Bihar
Lakhisarai,25.176771,86.0931767,Bihar
Munger,25.3773519,86.4731039,Bihar
Banka,43.1278266,-1.3728388,Bihar
Jamui,24.9275595,86.2254945,Bihar
